Map_region,council_name
Northland Region,Northland Regional Council
Auckland Region,Auckland Council
Waikato Region,Waikato Regional Council
Bay of Plenty Region,Bay of Plenty Regional Council
Gisborne Region,Gisborne District Council
Hawke's Bay Region,Hawke's Bay Regional Council
Taranaki Region,Taranaki Regional Council
Manawatu-Wanganui Region,Horizons Regional Council
Wellington Region,Greater Wellington Regional Council
West Coast Region,West Coast Regional Council
Canterbury Region,Environment Canterbury Regional Council
Otago Region,Otago Regional Council
Southland Region,Environment Southland Regional Council
Tasman Region,Tasman District Council
Nelson Region,Nelson City Council
Marlborough Region,Marlborough District Council
